run	mapping_threads	bam_threads	fastq_decode_s	bam_write_s	mapping_worker_s	record_worker_s	writer_wait_s
nativecall-baseline-a	11	3	14.677207	12.082238	121.927785	22.222104	0.401142
nativecall-baseline-b	11	3	14.011008	11.425339	117.312755	21.309388	0.330816
nativecall-current-a	11	3	13.945157	11.359866	117.595474	21.744450	0.196933
nativecall-current-b	11	3	13.562975	11.001319	114.163260	20.954501	0.190079
d3-layout-paired-baseline-a	11	3	13.222008	10.355552	114.199429	20.259857	0.131788
d3-layout-paired-baseline-b	11	3	13.421364	10.491827	114.500762	20.469641	0.065877
d3-layout-paired-current-a	11	3	12.998353	10.444748	107.163387	20.451664	0.086755
d3-layout-paired-current-b	11	3	12.682098	10.555689	107.383672	20.564026	0.084665
final-sa8-paired-a	11	3	12.358666	10.581933	91.926529	21.082142	0.704187
final-sa8-paired-10m4b-a	10	4	11.673312	7.500069	87.917258	19.525731	0.004443
final-sa8-paired-9m5b-a	9	5	12.365590	5.600938	85.963966	18.948260	0.004464
final-sa16-paired-10m4b-a	10	4	13.151373	7.608188	104.755179	19.546523	0.004606
auto-total14-sa16-a	11	3	13.171258	10.354397	114.147322	20.249871	0.050049
auto-total14-sa8-final-a	10	4	12.478070	10.216820	90.005697	21.320888	0.280874
fastq-lut-paired-baseline-a	10	4	12.253593	8.842703	89.376838	20.816816	0.042008
fastq-lut-paired-baseline-b	10	4	12.701320	10.378243	91.234962	22.203035	0.118458
fastq-lut-paired-current-a	10	4	12.479435	9.514234	90.950215	21.494798	0.005031
fastq-lut-paired-current-b	10	4	12.166064	8.909597	90.732153	20.295478	0.003956
