experiment	layout	index	threads	variant	run	wall_s	user_s	sys_s	peak_rss_kib	valid	interpretation
native-error-buffer	paired	stride16	11+3	baseline	nativecall-baseline-a	16.59	172.90	6.29	8361700	stage-only	host-noisy; BAM write 12.082 s
native-error-buffer	paired	stride16	11+3	baseline	nativecall-baseline-b	15.89	167.93	6.92	8346848	stage-only	host-noisy; BAM write 11.425 s
native-error-buffer	paired	stride16	11+3	uninitialized-on-success	nativecall-current-a	15.89	168.82	6.07	8358452	stage-only	host-noisy; BAM write 11.360 s
native-error-buffer	paired	stride16	11+3	uninitialized-on-success	nativecall-current-b	15.44	163.96	5.37	8359396	stage-only	host-noisy; BAM write 11.001 s
d3-upstream-layout	single	stride16	8+2	row-major	d3-layout-baseline-a	21.32	129.55	3.41	7650420	cpu-only	WSL wall excursion; user CPU retained
d3-upstream-layout	single	stride16	8+2	row-major	d3-layout-baseline-b	15.85	127.56	2.86	7649992	yes	stable control
d3-upstream-layout	single	stride16	8+2	position-major	d3-layout-current-a	14.60	116.87	2.96	7649516	yes	interleaved candidate slab
d3-upstream-layout	single	stride16	8+2	position-major	d3-layout-current-b	14.81	118.94	2.77	7649544	yes	interleaved candidate slab repeat
d3-upstream-layout	paired	stride16	11+3	row-major	d3-layout-paired-baseline-a	15.10	163.42	3.67	8314048	yes	matched control
d3-upstream-layout	paired	stride16	11+3	row-major	d3-layout-paired-baseline-b	15.31	164.35	4.25	8329792	yes	matched control repeat
d3-upstream-layout	paired	stride16	11+3	position-major	d3-layout-paired-current-a	14.80	157.31	3.52	8353080	yes	interleaved candidate slab
d3-upstream-layout	paired	stride16	11+3	position-major	d3-layout-paired-current-b	14.45	156.93	3.95	8347932	yes	interleaved candidate slab repeat
final-index-thread	single	stride8	8+2	pre-ascii-lut	final-sa8-single-a	13.65	107.49	3.08	9163740	yes	formal runtime stride-8 reader
final-index-thread	paired	stride8	11+3	pre-ascii-lut	final-sa8-paired-a	13.91	142.82	4.16	9866044	yes	writer wait exposed
final-index-thread	paired	stride8	10+4	pre-ascii-lut	final-sa8-paired-10m4b-a	13.31	136.79	3.66	9808900	yes	best clean stride-8 split
final-index-thread	paired	stride8	9+5	pre-ascii-lut	final-sa8-paired-9m5b-a	14.16	134.38	3.40	9807144	yes	mapping under-provisioned
final-index-thread	paired	stride16	10+4	pre-ascii-lut	final-sa16-paired-10m4b-a	15.07	153.63	3.45	8287132	yes	stride16 still favors 11+3
automatic-budget	paired	stride16	total14	auto-11+3	auto-total14-sa16-a	15.03	163.79	3.95	8331428	yes	runtime selected 11+3
automatic-budget	paired	stride8	total14	auto-10+4	auto-total14-sa8-final-a	14.23	139.66	9.73	9877344	cpu-only	runtime selected 10+4; abnormal WSL system time
ascii-classifier	single	stride8	8+2	jump-table	fastq-lut-single-baseline-a	14.40	108.52	3.33	9163848	yes	matched control
ascii-classifier	single	stride8	8+2	jump-table	fastq-lut-single-baseline-b	14.23	108.99	4.34	9163444	yes	matched control repeat
ascii-classifier	single	stride8	8+2	lookup-table	fastq-lut-single-current-a	13.37	104.23	3.30	9164372	yes	final source
ascii-classifier	single	stride8	8+2	lookup-table	fastq-lut-single-current-b	13.81	106.65	4.53	9163424	yes	final source repeat
ascii-classifier	paired	stride8	10+4	jump-table	fastq-lut-paired-baseline-a	13.89	139.62	8.63	9837636	decode-only	host sys noisy; FASTQ decode 12.254 s
ascii-classifier	paired	stride8	10+4	jump-table	fastq-lut-paired-baseline-b	14.37	142.16	9.62	9867544	decode-only	host sys noisy; FASTQ decode 12.701 s
ascii-classifier	paired	stride8	10+4	lookup-table	fastq-lut-paired-current-a	14.16	141.20	8.10	9858156	decode-only	host sys noisy; FASTQ decode 12.479 s
ascii-classifier	paired	stride8	10+4	lookup-table	fastq-lut-paired-current-b	13.80	140.87	6.46	9819060	decode-only	host sys noisy; FASTQ decode 12.166 s
d3-static-table	single	stride8	8+2	stack-table	d3-static-baseline-a	13.83	107.84	3.44	9163624	yes	control
d3-static-table	single	stride8	8+2	stack-table	d3-static-baseline-b	13.80	107.49	3.48	9164484	yes	control repeat
d3-static-table	single	stride8	8+2	static-table	d3-static-current-a	13.76	107.79	3.55	9163432	yes	neutral; reverted
d3-static-table	single	stride8	8+2	static-table	d3-static-current-b	13.90	106.74	3.33	9163180	yes	neutral; reverted
