experiment	variant	run	process_wall_s	batch_wall_s	mapping_worker_cpu_s	record_worker_cpu_s	writer_queue_wait_s	note
baseline	clean-head-8+2	baseline-paired-01	NA	NA	110.877	18.828	0.0633	initial clean baseline
sa-stride	stride16-8+2	sa16-paired-02	20.065	16.861	111.689	19.310	0.1943	matching final source
sa-stride	stride8-8+2	sa8-paired-01	17.787	14.233	90.752	18.541	0.8014	mapping faster; output pressure visible
sa-stride	stride8-8+2	sa8-paired-03	18.126	14.416	92.067	18.995	0.9790	mapping faster; output pressure visible
paired-specialization	bounded-control	bounded-paired-03	19.465	15.863	105.020	18.275	0.1315	matched control
paired-specialization	direct-evaluator	paired-eval-01	NA	NA	NA	19.35	NA	no improvement
thread-mix	8+2	threads-8m-2b-02	19.245	16.171	106.432	18.605	0.0791	reference split repeat
thread-mix	10+4	threads-10m-4b-01	19.872	17.800	143.614	25.179	0.0054	high CPU/variance
thread-mix	10+4	threads-10m-4b-02	16.778	14.496	119.581	20.675	0.0052	fast run but high CPU/variance
thread-mix	11+3	threads-11m-3b-01	15.044	12.875	115.444	20.415	0.0795	stable
thread-mix	11+3	threads-11m-3b-02	15.236	12.882	115.758	20.549	0.0805	stable
thread-mix	12+2	threads-12m-2b-01	17.930	12.847	121.948	21.908	2.4708	BGZF bottleneck
thread-mix	12+2	threads-12m-2b-02	18.389	12.410	118.203	21.217	2.9145	BGZF bottleneck
combined	stride8-11+3	sa8-threads-11m-3b-01	15.675	12.170	104.851	22.199	0.8454	wall saturated at writer
combined	stride8-11+3	sa8-threads-11m-3b-02	14.952	11.713	101.872	20.921	0.6607	wall saturated at writer
