corpus	pairs	block	position	method	wall_seconds	user_seconds	system_seconds	max_rss_kib	unique	ambiguous	unmapped	adapter_attempted	adapter_unique	adapter_ambiguous	adapter_unmapped	bam_sha256
clean-seed42	5000000	1	1	control	19.20	149.52	5.97	8487904	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	1	2	adapter	20.61	154.73	7.23	8498564	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	2	1	adapter	19.60	150.82	6.50	8488900	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	2	2	control	20.24	154.43	6.38	8471756	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	3	1	control	19.30	149.36	6.27	8473460	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	3	2	adapter	19.60	151.38	6.63	8500640	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	4	1	adapter	20.37	154.47	6.65	8464580	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	4	2	control	19.42	150.43	6.32	8473672	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	5	1	control	19.93	152.50	6.56	8478488	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
clean-seed42	5000000	5	2	adapter	19.76	152.11	6.48	8499528	4732736	209333	57931	0	0	0	0	f51d287ff95312fdf7a3bd5a7c617ddd2cb3b8cc170948f9627f65cfa80ef6a8
ERR2359938-first1m	1000000	1	1	control	9.42	60.76	2.62	8315160	380519	70260	549221	0	0	0	0	6e81e9a471cf9f35a27f2eaeafd3cd28044d18c2d96e7b2474c953540f44a6a7
ERR2359938-first1m	1000000	1	2	adapter	9.59	61.36	2.52	8320200	407333	74499	518168	56668	26814	4239	25615	b33b1821012f6eeaa62ab56c1fc022a59d87efdcc060c1edf3511fd521da8aab
ERR2359938-first1m	1000000	2	1	adapter	10.29	63.86	3.05	8317436	407333	74499	518168	56668	26814	4239	25615	b33b1821012f6eeaa62ab56c1fc022a59d87efdcc060c1edf3511fd521da8aab
ERR2359938-first1m	1000000	2	2	control	9.18	58.20	2.62	8322036	380519	70260	549221	0	0	0	0	6e81e9a471cf9f35a27f2eaeafd3cd28044d18c2d96e7b2474c953540f44a6a7
ERR2359938-first1m	1000000	3	1	control	9.60	59.64	3.17	8322440	380519	70260	549221	0	0	0	0	6e81e9a471cf9f35a27f2eaeafd3cd28044d18c2d96e7b2474c953540f44a6a7
ERR2359938-first1m	1000000	3	2	adapter	9.66	61.12	2.54	8320840	407333	74499	518168	56668	26814	4239	25615	b33b1821012f6eeaa62ab56c1fc022a59d87efdcc060c1edf3511fd521da8aab
ERR2359938-first1m	1000000	4	1	adapter	10.02	63.63	3.18	8323508	407333	74499	518168	56668	26814	4239	25615	b33b1821012f6eeaa62ab56c1fc022a59d87efdcc060c1edf3511fd521da8aab
ERR2359938-first1m	1000000	4	2	control	9.31	58.94	2.56	8322228	380519	70260	549221	0	0	0	0	6e81e9a471cf9f35a27f2eaeafd3cd28044d18c2d96e7b2474c953540f44a6a7
ERR2359938-first1m	1000000	5	1	control	10.06	59.55	3.59	8318232	380519	70260	549221	0	0	0	0	6e81e9a471cf9f35a27f2eaeafd3cd28044d18c2d96e7b2474c953540f44a6a7
ERR2359938-first1m	1000000	5	2	adapter	9.95	63.38	3.13	8316972	407333	74499	518168	56668	26814	4239	25615	b33b1821012f6eeaa62ab56c1fc022a59d87efdcc060c1edf3511fd521da8aab
ERR2359938-full10m	10000000	1	1	control	76.59	617.40	9.33	8429256	3824609	692414	5482977	0	0	0	0	cc002f0b8aa56555663d9727fe6feff136e1800a2f2f5ee6e3d9d7b1d583f47e
ERR2359938-full10m	10000000	1	2	adapter	76.33	625.97	8.56	8423364	4093531	732416	5174053	564355	268922	40002	255431	1de4bb84964fb2fb2a61de6b0e8b6d21376105a02301c5193923ad75bee3e168
