method	run	block_order	wall_ns	peak_tree_rss_kib	logical_read_bytes	logical_write_bytes
bounded-integrated	1	first	49332270806	8361892	6535348201	731523460
bitmapperbs	1	second	50528767981	7102300	7699255902	686156241
bitmapperbs	2	first	51291429103	7102188	7699255902	685405942
bounded-integrated	2	second	46053328328	8382124	6535348201	731525120
bitmapperbs	3	first	51450357063	7102336	7699255902	686113587
bounded-integrated	3	second	47849985029	8362420	6535348201	731525120
bitmapperbs	4	first	49502196952	7102404	7699255897	686362225
bounded-integrated	4	second	47231930513	8363904	6535348201	731525120
bitmapperbs	5	first	49398530837	7102348	7699255902	685126313
bounded-integrated	5	second	48022157443	8363608	6535348201	731523460
